Date/Time, Temperature A, Temperature B, Damper 
02/23/2018 02:40:33, 23.57053, 24.52061, 10
02/23/2018 03:40:37, 23.63998, 24.65395, 10
02/23/2018 04:40:47, 23.60387, 24.67896, 10
02/23/2018 05:40:52, 23.6511, 24.66784, 10
02/23/2018 06:40:56, 23.7511, 24.72618, 10
02/23/2018 07:41:02, 23.72609, 24.73451, 10
02/23/2018 08:41:10, 23.78999, 24.77896, 17.5
02/23/2018 09:41:14, 23.79277, 24.7873, 20
02/23/2018 10:41:16, 23.86501, 24.94009, 20
02/23/2018 11:41:26, 23.85389, 24.9512, 20
02/23/2018 12:41:27, 23.91223, 24.99565, 20
02/23/2018 13:41:35, 23.98167, 25.03176, 20
02/23/2018 14:41:39, 24.02334, 25.09565, 9.5
02/23/2018 15:41:39, 24.05668, 25.13733, 9.272727
02/23/2018 16:41:40, 24.05946, 25.10676, 10
02/23/2018 16:55:28, 24.05668, 25.1401, 10
02/23/2018 17:55:36, 24.05668, 25.15955, 10
02/23/2018 18:55:46, 24.10669, 25.17344, 10
02/23/2018 19:55:54, 24.15946, 25.22345, 10
02/23/2018 20:56:01, 24.20669, 25.27899, 10
02/23/2018 21:56:09, 24.20669, 25.304, 10
02/23/2018 22:56:17, 24.25114, 25.37067, 10
02/23/2018 23:56:25, 24.17613, 25.40679, 10
02/24/2018 00:56:34, 24.22336, 25.48179, 10
02/24/2018 01:56:44, 24.30115, 25.45957, 10
02/24/2018 02:56:51, 24.28447, 25.53458, 10
02/24/2018 03:56:58, 24.33726, 25.52624, 10
02/24/2018 04:57:06, 24.35671, 25.65681, 10
02/24/2018 05:57:13, 24.48449, 25.60403, 10
02/24/2018 06:57:21, 24.43449, 25.70681, 10
02/24/2018 07:57:29, 24.48171, 25.74292, 10
02/24/2018 08:57:38, 24.51227, 25.74292, 10
02/24/2018 09:57:46, 24.54283, 25.79849, 10
02/24/2018 10:57:50, 24.61783, 25.87627, 10
02/24/2018 11:57:57, 24.70118, 25.91794, 10
02/24/2018 12:58:06, 24.77618, 25.96795, 10
02/24/2018 13:58:15, 24.73729, 25.9735, 10
02/24/2018 14:58:22, 24.77896, 25.96795, 10
02/24/2018 15:58:29, 24.8123, 26.09018, 10
02/24/2018 16:58:34, 24.79563, 26.10962, 10
02/24/2018 17:58:45, 24.79563, 26.12907, 10
02/24/2018 18:58:50, 24.82063, 26.21241, 10
02/24/2018 19:58:58, 24.87897, 26.19852, 10
02/24/2018 20:59:05, 24.87619, 26.24297, 10
02/24/2018 21:59:05, 24.90119, 26.28186, 10
02/24/2018 22:59:15, 24.95675, 26.36798, 10
02/24/2018 23:59:19, 24.96509, 26.3652, 10
02/25/2018 00:59:24, 25.01509, 26.40131, 10
02/25/2018 01:59:32, 24.99842, 26.48188, 10
02/25/2018 02:59:35, 25.03731, 26.49021, 10
02/25/2018 03:59:37, 25.03176, 26.55966, 10
02/25/2018 04:59:46, 25.08176, 26.59855, 10
02/25/2018 05:59:56, 25.13177, 26.63466, 10
02/25/2018 07:00:04, 25.15677, 26.62633, 10
